culture,line,Time,seed.bank,phage.ml,spore.ml,veg.ml,cell.ml
SNO,L1,-0.5,none,NA,1,41456666.66666667,41456667.66666667
SNO,L2,-0.5,none,NA,1,41456666.66666667,41456667.66666667
SNO,L3,-0.5,none,NA,1,41456666.66666667,41456667.66666667
WLO,L1,-0.5,long,NA,4291666.666666667,33995000,38286666.666666664
WLO,L2,-0.5,long,NA,4291666.666666667,33995000,38286666.666666664
WLO,L3,-0.5,long,NA,4291666.666666667,33995000,38286666.666666664
WSO,L1,-0.5,short,NA,4291666.666666667,33995000,38286666.666666664
WSO,L2,-0.5,short,NA,4291666.666666667,33995000,38286666.666666664
WSO,L3,-0.5,short,NA,4291666.666666667,33995000,38286666.666666664
SNO,L1,0,none,100000,1,512973585.4102929,512973586.4102929
SNO,L2,0,none,100000,1,512973585.4102929,512973586.4102929
SNO,L3,0,none,100000,1,512973585.4102929,512973586.4102929
WLO,L1,0,long,100000,184905757.84151375,318778846.08747584,503684603.9289896
WLO,L2,0,long,100000,184905757.84151375,318778846.08747584,503684603.9289896
WLO,L3,0,long,100000,184905757.84151375,318778846.08747584,503684603.9289896
WSO,L1,0,short,100000,184905757.84151375,318778846.08747584,503684603.9289896
WSO,L2,0,short,100000,184905757.84151375,318778846.08747584,503684603.9289896
WSO,L3,0,short,100000,184905757.84151375,318778846.08747584,503684603.9289896
SNCt,L1,0,none,NA,1,595457114.8982598,595457115.8982598
SNCt,L2,0,none,NA,1,595457114.8982598,595457115.8982598
SNCt,L3,0,none,NA,1,595457114.8982598,595457115.8982598
WLCt,L1,0,long,NA,194050875.64228034,296742844.8591957,490793720.50147605
WLCt,L2,0,long,NA,194050875.64228034,296742844.8591957,490793720.50147605
WLCt,L3,0,long,NA,194050875.64228034,296742844.8591957,490793720.50147605
WSCt,L1,0,short,NA,194050875.64228034,296742844.8591957,490793720.50147605
WSCt,L2,0,short,NA,194050875.64228034,296742844.8591957,490793720.50147605
WSCt,L3,0,short,NA,194050875.64228034,296742844.8591957,490793720.50147605
SNO,L1,0.5,none,361670579.1450105,1,661284610.2623761,661284611.2623761
SNO,L2,0.5,none,244321035.73683628,1,657202673.7884946,657202674.7884946
SNO,L3,0.5,none,240321073.52552438,1,602939150.1364036,602939151.1364036
WLO,L1,0.5,long,391636461.0572784,8259034.35528724,435609257.65163475,443868292.006922
WLO,L2,0.5,long,264602780.51677114,13747100.117490243,543447749.0291266,557194849.1466169
WLO,L3,0.5,long,347950007.6389067,3989470.7857374437,538106254.4124391,542095725.1981765
WSO,L1,0.5,short,194010687.9116755,22335083.992576227,550223099.8944645,572558183.8870407
WSO,L2,0.5,short,315865647.19280165,30369115.096915044,836950540.0508813,867319655.1477963
WSO,L3,0.5,short,346412991.9891357,13659066.873070367,523822436.19381785,537481503.0668882
SNCt,L1,0.5,none,NA,1,497433747.26027554,497433748.26027554
SNCt,L2,0.5,none,NA,1,370151367.4805189,370151368.4805189
SNCt,L3,0.5,none,NA,1,408846238.88594246,408846239.88594246
WLCt,L1,0.5,long,NA,165722342.30886155,236346369.13515913,402068711.4440207
WLCt,L2,0.5,long,NA,202685410.25233352,239797182.661584,442482592.91391754
WLCt,L3,0.5,long,NA,143009642.81678843,255982361.52122593,398992004.33801436
WSCt,L1,0.5,short,NA,145900722.1012447,219701644.92187274,365602367.0231174
WSCt,L2,0.5,short,NA,153523515.2072115,289259993.25959134,442783508.46680284
WSCt,L3,0.5,short,NA,129531085.58088812,219258062.03449905,348789147.6153872
SNO,L1,1,none,582875687.825259,1,420077833.7986557,420077834.7986557
SNO,L2,1,none,1152786663.596972,1,428826923.07692313,428826924.07692313
SNO,L3,1,none,602446747.622036,1,260177251.42845282,260177252.42845282
WLO,L1,1,long,805799192.5376439,232579155.55450612,92226691.14019,324805846.6946961
WLO,L2,1,long,952313132.8599093,206046691.40383425,139467129.9051353,345513821.30896956
WLO,L3,1,long,748692680.7128918,186104429.4317711,131878976.33873029,317983405.7705014
WSO,L1,1,short,719911135.0358359,185475081.52182835,104444115.81517997,289919197.33700836
WSO,L2,1,short,713052694.7806168,464694174.2113441,33127849.084994256,497822023.2963384
WSO,L3,1,short,805471062.1546398,371497032.7518888,62897709.1763089,434394741.92819774
SNCt,L1,1,none,NA,1,270189004.1336119,270189005.1336119
SNCt,L2,1,none,NA,1,204099873.81503433,204099874.81503433
SNCt,L3,1,none,NA,1,204495359.39020878,204495360.39020878
WLCt,L1,1,long,NA,212159452.0682835,96482022.80875789,308641474.8770414
WLCt,L2,1,long,NA,249849439.8404311,106006144.22505778,355855584.0654889
WLCt,L3,1,long,NA,135061921.77650848,101346816.15171531,236408737.9282238
WSCt,L1,1,short,NA,167563987.0837521,88724454.44210783,256288441.52585992
WSCt,L2,1,short,NA,192959856.6043031,110034709.99130204,302994566.59560513
WSCt,L3,1,short,NA,157914600.60322893,88552526.4761859,246467127.07941484
SNO,L1,1.5,none,1868880856.8912868,1,4155000,4155001
SNO,L2,1.5,none,1520591154.8375788,1,1898333.3333333335,1898334.3333333335
SNO,L3,1.5,none,1067420397.4963281,1,1216666.6666666667,1216667.6666666667
WLO,L1,1.5,long,974414688.5610478,42876666.66666667,69866666.66666667,112743333.33333334
WLO,L2,1.5,long,768933796.4520837,13455000,37661666.66666667,51116666.66666667
WLO,L3,1.5,long,425674158.4827259,128603181.43765227,90997880.41298488,219601061.85063714
WSO,L1,1.5,short,728231691.9873679,133341638.76749429,131279424.00174579,264621062.76924008
WSO,L2,1.5,short,10199055621.14701,1053333.3333333335,8153333.333333334,9206666.666666668
WSO,L3,1.5,short,4912495218.01145,1635000,9571666.666666668,11206666.666666668
SNCt,L1,1.5,none,NA,1,354430867.4819921,354430868.4819921
SNCt,L2,1.5,none,NA,1,523821700.2506115,523821701.2506115
SNCt,L3,1.5,none,NA,1,507162755.8669888,507162756.8669888
WLCt,L1,1.5,long,NA,174338491.7424991,309831260.7551862,484169752.4976853
WLCt,L2,1.5,long,NA,249011012.58700955,301153626.19936836,550164638.7863779
WLCt,L3,1.5,long,NA,163711339.24995643,325992870.1604003,489704209.4103567
WSCt,L1,1.5,short,NA,170514787.51966292,269003752.9519891,439518540.47165203
WSCt,L2,1.5,short,NA,292023733.53299904,260583589.93024087,552607323.4632399
WSCt,L3,1.5,short,NA,161022171.4231205,254995487.10332644,416017658.52644694
SNO,L1,2,none,6617570829.4609995,1,5910000,5910001
SNO,L2,2,none,5670922256.485211,1,2695000,2695001
SNO,L3,2,none,4581950834.390759,1,523333.8333333334,523334.8333333334
WLO,L1,2,long,3463678201.67667,128618333.33333334,9070000,137688333.33333334
WLO,L2,2,long,3895596707.425412,36128333.333333336,1926666.6666666667,38055000
WLO,L3,2,long,2525120077.9080677,188597050.78691536,15983830.520736303,204580881.30765167
WSO,L1,2,short,3542789461.0421376,260922828.4839316,1922235.3899491483,262845063.87388074
WSO,L2,2,short,3407017210.238543,5811666.666666667,3193333.3333333335,9005000
WSO,L3,2,short,6688069778.089843,10000000,1918333.3333333335,11918333.333333334
SNCt,L1,2,none,NA,1,157557892.20780832,157557893.20780832
SNCt,L2,2,none,NA,1,208024884.83470467,208024885.83470467
SNCt,L3,2,none,NA,1,157706752.68995553,157706753.68995553
WLCt,L1,2,long,NA,197787114.08320314,103546975.09385148,301334089.17705464
WLCt,L2,2,long,NA,310893655.9636514,76697019.13557571,387590675.09922713
WLCt,L3,2,long,NA,196137328.0446593,100459946.89384183,296597274.9385011
WSCt,L1,2,short,NA,204745054.27040923,98225774.46423212,302970828.7346413
WSCt,L2,2,short,NA,366382189.1197447,48523423.38259635,414905612.5023411
WSCt,L3,2,short,NA,181177667.22630435,72067214.02579221,253244881.25209656
SNO,L1,2.5,none,443469873.6028291,1,2373333.3333333335,2373334.3333333335
SNO,L2,2.5,none,531673865.3322027,1,1,2
SNO,L3,2.5,none,697684097.7243512,1,1,2
WLO,L1,2.5,long,1046260954.6869293,35138333.333333336,25463333.333333336,60601666.66666667
WLO,L2,2.5,long,1120657863.0888638,6096666.666666667,30546666.666666668,36643333.333333336
WLO,L3,2.5,long,831527256.2637336,9713333.333333334,35986666.66666667,45700000.00000001
WSO,L1,2.5,short,801950798.5670733,2445000,14601666.666666668,17046666.666666668
WSO,L2,2.5,short,202470046.38928068,43255000,14050000,57305000
WSO,L3,2.5,short,315421258.5164083,82060000,6198333.333333334,88258333.33333333
SNCt,L1,2.5,none,NA,1,357427601.8521518,357427602.8521518
SNCt,L2,2.5,none,NA,1,407840337.9899202,407840338.9899202
SNCt,L3,2.5,none,NA,1,387018208.9390743,387018209.9390743
WLCt,L1,2.5,long,NA,138226927.79667318,287966098.4734063,426193026.2700795
WLCt,L2,2.5,long,NA,141424897.5109703,366731299.630817,508156197.1417873
WLCt,L3,2.5,long,NA,138930546.87662053,324480135.04799616,463410681.9246167
WSCt,L1,2.5,short,NA,154930380.7087312,279083297.4492768,434013678.158008
WSCt,L2,2.5,short,NA,150932886.80187297,289145410.0918052,440078296.8936782
WSCt,L3,2.5,short,NA,148418801.33051232,249018124.64689365,397436925.97740597
SNO,L1,3,none,3967212364.4630833,1,2971666.666666667,2971667.666666667
SNO,L2,3,none,3627628661.8455877,1,1,2
SNO,L3,3,none,5214677037.384954,1,4158333.3333333335,4158334.3333333335
WLO,L1,3,long,4689252064.427972,71358333.33333334,9140000,80498333.33333334
WLO,L2,3,long,4230572014.6080194,21091666.666666668,10826666.666666668,31918333.333333336
WLO,L3,3,long,7516781007.861116,65391666.66666667,8393333.333333334,73785000
WSO,L1,3,short,4199548985.541243,8366666.666666668,7340000,15706666.666666668
WSO,L2,3,short,1528303607.5244503,150366915.68762606,1634829.6219753406,152001745.3096014
WSO,L3,3,short,2660480611.405406,116478333.33333334,1823333.3333333335,118301666.66666667
SNCt,L1,3,none,NA,1,166951209.13255006,166951210.13255006
SNCt,L2,3,none,NA,1,258809892.20400903,258809893.20400903
SNCt,L3,3,none,NA,1,285308955.81765604,285308956.81765604
WLCt,L1,3,long,NA,175939346.21709323,91452384.94206041,267391731.15915364
WLCt,L2,3,long,NA,160396260.78817457,100501594.06724745,260897854.85542202
WLCt,L3,3,long,NA,159796076.37211683,95853952.7856026,255650029.15771943
WSCt,L1,3,short,NA,180739219.0871846,94068375.63140997,274807594.71859455
WSCt,L2,3,short,NA,161745559.29948574,84622828.44178788,246368387.74127364
WSCt,L3,3,short,NA,174819941.24725002,80361671.94206133,255181613.18931136
SNO,L1,3.5,none,1611736921.5123503,1,6695000,6695001
SNO,L2,3.5,none,827982964.9048722,1,13465000,13465001
SNO,L3,3.5,none,527507559.87719965,1,9641666.666666668,9641667.666666668
WLO,L1,3.5,long,915775186.1264544,20442473.480191343,126527151.04130894,146969624.5215003
WLO,L2,3.5,long,938157546.6329641,69078333.33333334,17758333.333333336,86836666.66666669
WLO,L3,3.5,long,1187994568.9498649,665000,28191666.666666668,28856666.666666668
WSO,L1,3.5,short,718007505.280381,32088333.333333336,8785000,40873333.333333336
WSO,L2,3.5,short,253406145.32268947,23236666.666666668,2995000,26231666.666666668
WSO,L3,3.5,short,759033006.3431484,19631666.666666668,14268333.333333334,33900000
SNCt,L1,3.5,none,NA,1,484865116.3651882,484865117.3651882
SNCt,L2,3.5,none,NA,1,362897935.73068833,362897936.73068833
SNCt,L3,3.5,none,NA,1,428167969.45994836,428167970.45994836
WLCt,L1,3.5,long,NA,231973597.6011117,234280883.29442894,466254480.89554065
WLCt,L2,3.5,long,NA,150273690.9137075,281212316.6348518,431486007.5485593
WLCt,L3,3.5,long,NA,150274206.16162145,301187516.8513752,451461723.0129967
WSCt,L1,3.5,short,NA,220591581.599113,188422756.070943,409014337.670056
WSCt,L2,3.5,short,NA,145774287.37980258,237786939.93949676,383561227.31929934
WSCt,L3,3.5,short,NA,441087882.03660053,91912393.0332663,533000275.06986684
SNO,L1,4,none,1182333835.6997476,1,12700000,12700001
SNO,L2,4,none,360984868.99665,1,34358333.333333336,34358334.333333336
SNO,L3,4,none,413402234.5840014,1,15510000,15510001
WLO,L1,4,long,1999995018.3705323,188761432.66387227,4220234.608599594,192981667.27247187
WLO,L2,4,long,441912756.4546001,159025454.06704378,14565806.069777891,173591260.1368217
WLO,L3,4,long,2568398646.344369,65700000,7390000,73090000
WSO,L1,4,short,534690919.9071531,131578642.08966284,10027632.456465358,141606274.54612818
WSO,L2,4,short,509756485.8228184,82436666.66666667,3466666.666666667,85903333.33333334
WSO,L3,4,short,677673291.9494553,51831666.66666667,2645000,54476666.66666667
SNCt,L1,4,none,NA,1,244661148.5889097,244661149.5889097
SNCt,L2,4,none,NA,1,174519900.5527526,174519901.5527526
SNCt,L3,4,none,NA,1,223012388.51552066,223012389.51552066
WLCt,L1,4,long,NA,302516655.50629216,103336025.02292745,405852680.5292196
WLCt,L2,4,long,NA,175347926.28496444,86792548.72936988,262140475.01433432
WLCt,L3,4,long,NA,193056690.5594318,83412004.73508123,276468695.294513
WSCt,L1,4,short,NA,354588852.6518594,15210945.789064132,369799798.4409235
WSCt,L2,4,short,NA,169803372.37144536,84155041.98908702,253958414.36053237
WSCt,L3,4,short,NA,558645327.1440346,12384506.92195397,571029834.0659885
SNO,L1,4.5,none,1063094939.769021,1,3185000,3185001
SNO,L2,4.5,none,1541485878.344892,1,12073333.333333334,12073334.333333334
SNO,L3,4.5,none,906529633.8087559,1,820000,820001
WLO,L1,4.5,long,4091381491.8737288,2888333.3333333335,5930000,8818333.333333334
WLO,L2,4.5,long,378313999.38120794,48309043.45611951,33312203.926894136,81621247.38301364
WLO,L3,4.5,long,1164338527.765551,6606666.666666667,24388333.333333336,30995000.000000004
WSO,L1,4.5,short,248683458.22839665,60811666.66666667,7931666.666666667,68743333.33333334
WSO,L2,4.5,short,223560555.7958636,39838333.333333336,1531666.6666666667,41370000
WSO,L3,4.5,short,438575274.5440776,25838333.333333336,5398333.333333334,31236666.66666667
SNCt,L1,4.5,none,NA,1,543176653.4888288,543176654.4888288
SNCt,L2,4.5,none,NA,1,454337389.1157385,454337390.1157385
SNCt,L3,4.5,none,NA,1,530297403.04604256,530297404.04604256
WLCt,L1,4.5,long,NA,199060722.93380958,328090398.29528165,527151121.2290912
WLCt,L2,4.5,long,NA,205193625.23472643,299951989.5937844,505145614.8285108
WLCt,L3,4.5,long,NA,166221615.66759902,283654889.02192503,449876504.68952405
WSCt,L1,4.5,short,NA,216618443.6044994,277099499.4381448,493717943.0426442
WSCt,L2,4.5,short,NA,170691809.4615932,264526559.27320486,435218368.7347981
WSCt,L3,4.5,short,NA,174833339.103281,280873623.59570765,455706962.6989887
SNO,L1,5,none,363048238.2291684,1,5928333.333333334,5928334.333333334
SNO,L2,5,none,2227561839.076833,1,30101666.666666668,30101667.666666668
SNO,L3,5,none,318335411.36828184,1,2630000,2630001
WLO,L1,5,long,1669017148.1997523,36491666.66666667,43370000,79861666.66666667
WLO,L2,5,long,651138075.3236251,56808333.333333336,7206666.666666667,64015000
WLO,L3,5,long,1186607771.5936303,42850000,4570000,47420000
WSO,L1,5,short,326602380.7979313,93381666.66666667,6876666.666666667,100258333.33333334
WSO,L2,5,short,126767944.58651507,132278333.33333334,4968333.333333334,137246666.6666667
WSO,L3,5,short,848916030.7911265,45268333.333333336,1921666.6666666667,47190000
SNCt,L1,5,none,NA,1,237434464.1700968,237434465.1700968
SNCt,L2,5,none,NA,1,213442764.85511032,213442765.85511032
SNCt,L3,5,none,NA,1,403357667.5979992,403357668.5979992
WLCt,L1,5,long,NA,247096694.5039292,174054802.97552812,421151497.4794573
WLCt,L2,5,long,NA,222829060.56054223,95316004.7846044,318145065.34514666
WLCt,L3,5,long,NA,193619263.57654637,92243079.41335651,285862342.98990285
WSCt,L1,5,short,NA,255547245.61013806,97393268.59207857,352940514.2022166
WSCt,L2,5,short,NA,188138841.3667825,66800474.99572663,254939316.36250913
WSCt,L3,5,short,NA,204474367.86801732,91562632.55821076,296037000.42622805
SNO,L1,5.5,none,320382326.28846097,1,483333.3333333334,483334.3333333334
SNO,L2,5.5,none,2915267935.919096,1,2658333.8333333335,2658334.8333333335
SNO,L3,5.5,none,337848398.1023084,1,911666.6666666667,911667.6666666667
WLO,L1,5.5,long,1086235547.7397952,21500000,24575000,46075000
WLO,L2,5.5,long,467628387.7453232,40625000,7280000,47905000
WLO,L3,5.5,long,693768896.3350338,2366666.666666667,6010000,8376666.666666667
WSO,L1,5.5,short,208760284.02616435,16545000.000000002,5261666.666666667,21806666.666666668
WSO,L2,5.5,short,112532506.35097146,25553333.333333336,17971666.666666668,43525000
WSO,L3,5.5,short,483393031.4698981,30526666.666666668,14453333.333333334,44980000
SNCt,L1,5.5,none,NA,1,510914406.5670624,510914407.5670624
SNCt,L2,5.5,none,NA,1,454041578.1916603,454041579.1916603
SNCt,L3,5.5,none,NA,1,799195757.2877116,799195758.2877116
WLCt,L1,5.5,long,NA,109585436.10448211,399194066.8903793,508779502.9948614
WLCt,L2,5.5,long,NA,162336030.89179343,355893036.55718493,518229067.44897836
WLCt,L3,5.5,long,NA,169900910.9492448,345441392.12142247,515342303.07066727
WSCt,L1,5.5,short,NA,174335652.78841722,382616112.2665454,556951765.0549626
WSCt,L2,5.5,short,NA,156880216.51984257,382432497.4717013,539312713.9915439
WSCt,L3,5.5,short,NA,164388157.2574272,295884611.2666147,460272768.5240419
SNO,L1,6,none,379344605.515957,1,711666.6666666667,711667.6666666667
SNO,L2,6,none,1574527684.9048796,1,9603333.333333334,9603334.333333334
SNO,L3,6,none,307815572.2969752,1,2486666.666666667,2486667.666666667
WLO,L1,6,long,1123365760.42168,104860000,3891666.666666667,108751666.66666667
WLO,L2,6,long,886094334.2339213,72476666.66666667,16305000,88781666.66666667
WLO,L3,6,long,609325739.4068317,15420000,4395000,19815000
WSO,L1,6,short,247360265.71494123,35591666.66666667,1145000,36736666.66666667
WSO,L2,6,short,186746661.87769985,102463333.33333334,455000,102918333.33333334
WSO,L3,6,short,923599348.6988333,61460000,4896666.666666667,66356666.666666664
SNCt,L1,6,none,NA,1,322450275.7801301,322450276.7801301
SNCt,L2,6,none,NA,1,163375097.93443805,163375098.93443805
SNCt,L3,6,none,NA,1,304221709.9949899,304221710.9949899
WLCt,L1,6,long,NA,137655770.34792024,167088472.12386203,304744242.47178227
WLCt,L2,6,long,NA,193211502.1342208,115784603.06269994,308996105.19692075
WLCt,L3,6,long,NA,200802664.23864186,135712773.83545247,336515438.0740943
WSCt,L1,6,short,NA,235054816.6150449,80602591.80315603,315657408.4182009
WSCt,L2,6,short,NA,203749013.9062962,100754101.81552485,304503115.72182107
WSCt,L3,6,short,NA,208906288.5087617,114484023.66560033,323390312.17436206
SNO,L1,6.5,none,242857650.57118714,1,2430000,2430001
SNO,L2,6.5,none,2656716936.8483458,1,43810000,43810001
SNO,L3,6.5,none,487589638.8653587,1,3425000,3425001
WLO,L1,6.5,long,653560420.732542,25758333.333333336,28860000,54618333.333333336
WLO,L2,6.5,long,667048504.1839967,10168333.333333334,17401666.666666668,27570000
WLO,L3,6.5,long,306285022.6063908,665000,12265000,12930000
WSO,L1,6.5,short,233289950.3261491,6210000,15365000,21575000
WSO,L2,6.5,short,100999661.35016242,26813333.333333336,24805000,51618333.333333336
WSO,L3,6.5,short,608299707.9379302,16248333.333333334,10323333.333333334,26571666.666666668
SNCt,L1,6.5,none,NA,1,655824424.2124515,655824425.2124515
SNCt,L2,6.5,none,NA,1,390718727.5521625,390718728.5521625
SNCt,L3,6.5,none,NA,1,383906378.9726338,383906379.9726338
WLCt,L1,6.5,long,NA,133301609.18968454,569870462.3008687,703172071.4905533
WLCt,L2,6.5,long,NA,125884949.94183382,390789601.47354317,516674551.415377
WLCt,L3,6.5,long,NA,111676393.702357,278541087.46883273,390217481.1711897
WSCt,L1,6.5,short,NA,75452294.62594116,306124087.71317935,381576382.3391205
WSCt,L2,6.5,short,NA,166051348.6741224,238048965.2427265,404100313.9168489
WSCt,L3,6.5,short,NA,106171990.00106078,329296426.0077045,435468416.0087653
SNO,L1,7,none,1642015950.6048384,1,1733333.3333333335,1733334.3333333335
SNO,L2,7,none,2011599333.3199282,1,64173333.333333336,64173334.333333336
SNO,L3,7,none,1083189066.264232,1,4946666.666666667,4946667.666666667
WLO,L1,7,long,2182519474.22418,81905000,8616666.666666668,90521666.66666667
WLO,L2,7,long,1905044759.552433,48415000,12083333.333333334,60498333.333333336
WLO,L3,7,long,4408632765.517615,6023333.333333334,4748333.333333334,10771666.666666668
WSO,L1,7,short,638772956.2284132,32355000,1711666.6666666667,34066666.666666664
WSO,L2,7,short,1012215299.6847088,117145000,2221666.666666667,119366666.66666667
WSO,L3,7,short,204717650.31794173,32601666.666666668,4008333.3333333335,36610000
SNCt,L1,7,none,NA,1,367654496.6150137,367654497.6150137
SNCt,L2,7,none,NA,1,240876694.03624994,240876695.03624994
