culture,line,Time,seed.bank,phage.ml,spore.ml,veg.ml,cell.ml,host,phage,flask
SNO,L1,0,no-seed-bank,100000,1,512973585.4102929,512973586.4102929,dSpoIIE,SPO1,SNO-L1
SNO,L2,0,no-seed-bank,100000,1,512973585.4102929,512973586.4102929,dSpoIIE,SPO1,SNO-L2
SNO,L3,0,no-seed-bank,100000,1,512973585.4102929,512973586.4102929,dSpoIIE,SPO1,SNO-L3
WLO,L1,0,with-seed-bank,100000,184905757.84151375,318778846.08747584,503684603.9289896,WT,SPO1,WLO-L1
WLO,L2,0,with-seed-bank,100000,184905757.84151375,318778846.08747584,503684603.9289896,WT,SPO1,WLO-L2
WLO,L3,0,with-seed-bank,100000,184905757.84151375,318778846.08747584,503684603.9289896,WT,SPO1,WLO-L3
SNCt,L1,0,no-seed-bank,NA,1,595457114.8982598,595457115.8982598,dSpoIIE,no_Phage,SNCt-L1
SNCt,L2,0,no-seed-bank,NA,1,595457114.8982598,595457115.8982598,dSpoIIE,no_Phage,SNCt-L2
SNCt,L3,0,no-seed-bank,NA,1,595457114.8982598,595457115.8982598,dSpoIIE,no_Phage,SNCt-L3
WLCt,L1,0,with-seed-bank,NA,194050875.64228034,296742844.8591957,490793720.50147605,WT,no_Phage,WLCt-L1
WLCt,L2,0,with-seed-bank,NA,194050875.64228034,296742844.8591957,490793720.50147605,WT,no_Phage,WLCt-L2
WLCt,L3,0,with-seed-bank,NA,194050875.64228034,296742844.8591957,490793720.50147605,WT,no_Phage,WLCt-L3
SNO,L1,0.5,no-seed-bank,361670579.1450105,1,661284610.2623761,661284611.2623761,dSpoIIE,SPO1,SNO-L1
SNO,L2,0.5,no-seed-bank,244321035.73683628,1,657202673.7884946,657202674.7884946,dSpoIIE,SPO1,SNO-L2
SNO,L3,0.5,no-seed-bank,240321073.52552438,1,602939150.1364036,602939151.1364036,dSpoIIE,SPO1,SNO-L3
WLO,L1,0.5,with-seed-bank,391636461.0572784,8259034.35528724,435609257.65163475,443868292.006922,WT,SPO1,WLO-L1
WLO,L2,0.5,with-seed-bank,264602780.51677114,13747100.117490243,543447749.0291266,557194849.1466169,WT,SPO1,WLO-L2
WLO,L3,0.5,with-seed-bank,347950007.6389067,3989470.7857374437,538106254.4124391,542095725.1981765,WT,SPO1,WLO-L3
SNCt,L1,0.5,no-seed-bank,NA,1,497433747.26027554,497433748.26027554,dSpoIIE,no_Phage,SNCt-L1
SNCt,L2,0.5,no-seed-bank,NA,1,370151367.4805189,370151368.4805189,dSpoIIE,no_Phage,SNCt-L2
SNCt,L3,0.5,no-seed-bank,NA,1,408846238.88594246,408846239.88594246,dSpoIIE,no_Phage,SNCt-L3
WLCt,L1,0.5,with-seed-bank,NA,165722342.30886155,236346369.13515913,402068711.4440207,WT,no_Phage,WLCt-L1
WLCt,L2,0.5,with-seed-bank,NA,202685410.25233352,239797182.661584,442482592.91391754,WT,no_Phage,WLCt-L2
WLCt,L3,0.5,with-seed-bank,NA,143009642.81678843,255982361.52122593,398992004.33801436,WT,no_Phage,WLCt-L3
SNO,L1,1,no-seed-bank,582875687.825259,1,420077833.7986557,420077834.7986557,dSpoIIE,SPO1,SNO-L1
SNO,L2,1,no-seed-bank,1152786663.596972,1,428826923.07692313,428826924.07692313,dSpoIIE,SPO1,SNO-L2
SNO,L3,1,no-seed-bank,602446747.622036,1,260177251.42845282,260177252.42845282,dSpoIIE,SPO1,SNO-L3
WLO,L1,1,with-seed-bank,805799192.5376439,232579155.55450612,92226691.14019,324805846.6946961,WT,SPO1,WLO-L1
WLO,L2,1,with-seed-bank,952313132.8599093,206046691.40383425,139467129.9051353,345513821.30896956,WT,SPO1,WLO-L2
WLO,L3,1,with-seed-bank,748692680.7128918,186104429.4317711,131878976.33873029,317983405.7705014,WT,SPO1,WLO-L3
SNCt,L1,1,no-seed-bank,NA,1,270189004.1336119,270189005.1336119,dSpoIIE,no_Phage,SNCt-L1
SNCt,L2,1,no-seed-bank,NA,1,204099873.81503433,204099874.81503433,dSpoIIE,no_Phage,SNCt-L2
SNCt,L3,1,no-seed-bank,NA,1,204495359.39020878,204495360.39020878,dSpoIIE,no_Phage,SNCt-L3
WLCt,L1,1,with-seed-bank,NA,212159452.0682835,96482022.80875789,308641474.8770414,WT,no_Phage,WLCt-L1
WLCt,L2,1,with-seed-bank,NA,249849439.8404311,106006144.22505778,355855584.0654889,WT,no_Phage,WLCt-L2
WLCt,L3,1,with-seed-bank,NA,135061921.77650848,101346816.15171531,236408737.9282238,WT,no_Phage,WLCt-L3
SNO,L1,1.5,no-seed-bank,1868880856.8912868,1,4155000,4155001,dSpoIIE,SPO1,SNO-L1
SNO,L2,1.5,no-seed-bank,1520591154.8375788,1,1898333.3333333335,1898334.3333333335,dSpoIIE,SPO1,SNO-L2
SNO,L3,1.5,no-seed-bank,1067420397.4963281,1,1216666.6666666667,1216667.6666666667,dSpoIIE,SPO1,SNO-L3
WLO,L1,1.5,with-seed-bank,974414688.5610478,42876666.66666667,69866666.66666667,112743333.33333334,WT,SPO1,WLO-L1
WLO,L2,1.5,with-seed-bank,768933796.4520837,13455000,37661666.66666667,51116666.66666667,WT,SPO1,WLO-L2
WLO,L3,1.5,with-seed-bank,425674158.4827259,128603181.43765227,90997880.41298488,219601061.85063714,WT,SPO1,WLO-L3
SNCt,L1,1.5,no-seed-bank,NA,1,354430867.4819921,354430868.4819921,dSpoIIE,no_Phage,SNCt-L1
SNCt,L2,1.5,no-seed-bank,NA,1,523821700.2506115,523821701.2506115,dSpoIIE,no_Phage,SNCt-L2
SNCt,L3,1.5,no-seed-bank,NA,1,507162755.8669888,507162756.8669888,dSpoIIE,no_Phage,SNCt-L3
WLCt,L1,1.5,with-seed-bank,NA,174338491.7424991,309831260.7551862,484169752.4976853,WT,no_Phage,WLCt-L1
WLCt,L2,1.5,with-seed-bank,NA,249011012.58700955,301153626.19936836,550164638.7863779,WT,no_Phage,WLCt-L2
WLCt,L3,1.5,with-seed-bank,NA,163711339.24995643,325992870.1604003,489704209.4103567,WT,no_Phage,WLCt-L3
SNO,L1,2,no-seed-bank,6617570829.4609995,1,5910000,5910001,dSpoIIE,SPO1,SNO-L1
SNO,L2,2,no-seed-bank,5670922256.485211,1,2695000,2695001,dSpoIIE,SPO1,SNO-L2
SNO,L3,2,no-seed-bank,4581950834.390759,1,523333.8333333334,523334.8333333334,dSpoIIE,SPO1,SNO-L3
WLO,L1,2,with-seed-bank,3463678201.67667,128618333.33333334,9070000,137688333.33333334,WT,SPO1,WLO-L1
WLO,L2,2,with-seed-bank,3895596707.425412,36128333.333333336,1926666.6666666667,38055000,WT,SPO1,WLO-L2
WLO,L3,2,with-seed-bank,2525120077.9080677,188597050.78691536,15983830.520736303,204580881.30765167,WT,SPO1,WLO-L3
SNCt,L1,2,no-seed-bank,NA,1,157557892.20780832,157557893.20780832,dSpoIIE,no_Phage,SNCt-L1
SNCt,L2,2,no-seed-bank,NA,1,208024884.83470467,208024885.83470467,dSpoIIE,no_Phage,SNCt-L2
SNCt,L3,2,no-seed-bank,NA,1,157706752.68995553,157706753.68995553,dSpoIIE,no_Phage,SNCt-L3
WLCt,L1,2,with-seed-bank,NA,197787114.08320314,103546975.09385148,301334089.17705464,WT,no_Phage,WLCt-L1
WLCt,L2,2,with-seed-bank,NA,310893655.9636514,76697019.13557571,387590675.09922713,WT,no_Phage,WLCt-L2
WLCt,L3,2,with-seed-bank,NA,196137328.0446593,100459946.89384183,296597274.9385011,WT,no_Phage,WLCt-L3
SNO,L1,2.5,no-seed-bank,443469873.6028291,1,2373333.3333333335,2373334.3333333335,dSpoIIE,SPO1,SNO-L1
SNO,L2,2.5,no-seed-bank,531673865.3322027,1,100000,100000,dSpoIIE,SPO1,SNO-L2
SNO,L3,2.5,no-seed-bank,697684097.7243512,1,100000,100000,dSpoIIE,SPO1,SNO-L3
WLO,L1,2.5,with-seed-bank,1046260954.6869293,35138333.333333336,25463333.333333336,60601666.66666667,WT,SPO1,WLO-L1
WLO,L2,2.5,with-seed-bank,1120657863.0888638,6096666.666666667,30546666.666666668,36643333.333333336,WT,SPO1,WLO-L2
WLO,L3,2.5,with-seed-bank,831527256.2637336,9713333.333333334,35986666.66666667,45700000.00000001,WT,SPO1,WLO-L3
SNCt,L1,2.5,no-seed-bank,NA,1,357427601.8521518,357427602.8521518,dSpoIIE,no_Phage,SNCt-L1
SNCt,L2,2.5,no-seed-bank,NA,1,407840337.9899202,407840338.9899202,dSpoIIE,no_Phage,SNCt-L2
SNCt,L3,2.5,no-seed-bank,NA,1,387018208.9390743,387018209.9390743,dSpoIIE,no_Phage,SNCt-L3
WLCt,L1,2.5,with-seed-bank,NA,138226927.79667318,287966098.4734063,426193026.2700795,WT,no_Phage,WLCt-L1
WLCt,L2,2.5,with-seed-bank,NA,141424897.5109703,366731299.630817,508156197.1417873,WT,no_Phage,WLCt-L2
WLCt,L3,2.5,with-seed-bank,NA,138930546.87662053,324480135.04799616,463410681.9246167,WT,no_Phage,WLCt-L3
SNO,L1,3,no-seed-bank,3967212364.4630833,1,2971666.666666667,2971667.666666667,dSpoIIE,SPO1,SNO-L1
SNO,L2,3,no-seed-bank,3627628661.8455877,1,100000,100000,dSpoIIE,SPO1,SNO-L2
SNO,L3,3,no-seed-bank,5214677037.384954,1,4158333.3333333335,4158334.3333333335,dSpoIIE,SPO1,SNO-L3
WLO,L1,3,with-seed-bank,4689252064.427972,71358333.33333334,9140000,80498333.33333334,WT,SPO1,WLO-L1
WLO,L2,3,with-seed-bank,4230572014.6080194,21091666.666666668,10826666.666666668,31918333.333333336,WT,SPO1,WLO-L2
WLO,L3,3,with-seed-bank,7516781007.861116,65391666.66666667,8393333.333333334,73785000,WT,SPO1,WLO-L3
SNCt,L1,3,no-seed-bank,NA,1,166951209.13255006,166951210.13255006,dSpoIIE,no_Phage,SNCt-L1
SNCt,L2,3,no-seed-bank,NA,1,258809892.20400903,258809893.20400903,dSpoIIE,no_Phage,SNCt-L2
SNCt,L3,3,no-seed-bank,NA,1,285308955.81765604,285308956.81765604,dSpoIIE,no_Phage,SNCt-L3
WLCt,L1,3,with-seed-bank,NA,175939346.21709323,91452384.94206041,267391731.15915364,WT,no_Phage,WLCt-L1
WLCt,L2,3,with-seed-bank,NA,160396260.78817457,100501594.06724745,260897854.85542202,WT,no_Phage,WLCt-L2
WLCt,L3,3,with-seed-bank,NA,159796076.37211683,95853952.7856026,255650029.15771943,WT,no_Phage,WLCt-L3
SNO,L1,3.5,no-seed-bank,1611736921.5123503,1,6695000,6695001,dSpoIIE,SPO1,SNO-L1
SNO,L2,3.5,no-seed-bank,827982964.9048722,1,13465000,13465001,dSpoIIE,SPO1,SNO-L2
SNO,L3,3.5,no-seed-bank,527507559.87719965,1,9641666.666666668,9641667.666666668,dSpoIIE,SPO1,SNO-L3
WLO,L1,3.5,with-seed-bank,915775186.1264544,20442473.480191343,126527151.04130894,146969624.5215003,WT,SPO1,WLO-L1
WLO,L2,3.5,with-seed-bank,938157546.6329641,69078333.33333334,17758333.333333336,86836666.66666669,WT,SPO1,WLO-L2
WLO,L3,3.5,with-seed-bank,1187994568.9498649,665000,28191666.666666668,28856666.666666668,WT,SPO1,WLO-L3
SNCt,L1,3.5,no-seed-bank,NA,1,484865116.3651882,484865117.3651882,dSpoIIE,no_Phage,SNCt-L1
SNCt,L2,3.5,no-seed-bank,NA,1,362897935.73068833,362897936.73068833,dSpoIIE,no_Phage,SNCt-L2
SNCt,L3,3.5,no-seed-bank,NA,1,428167969.45994836,428167970.45994836,dSpoIIE,no_Phage,SNCt-L3
WLCt,L1,3.5,with-seed-bank,NA,231973597.6011117,234280883.29442894,466254480.89554065,WT,no_Phage,WLCt-L1
WLCt,L2,3.5,with-seed-bank,NA,150273690.9137075,281212316.6348518,431486007.5485593,WT,no_Phage,WLCt-L2
WLCt,L3,3.5,with-seed-bank,NA,150274206.16162145,301187516.8513752,451461723.0129967,WT,no_Phage,WLCt-L3
SNO,L1,4,no-seed-bank,1182333835.6997476,1,12700000,12700001,dSpoIIE,SPO1,SNO-L1
SNO,L2,4,no-seed-bank,360984868.99665,1,34358333.333333336,34358334.333333336,dSpoIIE,SPO1,SNO-L2
SNO,L3,4,no-seed-bank,413402234.5840014,1,15510000,15510001,dSpoIIE,SPO1,SNO-L3
WLO,L1,4,with-seed-bank,1999995018.3705323,188761432.66387227,4220234.608599594,192981667.27247187,WT,SPO1,WLO-L1
WLO,L2,4,with-seed-bank,441912756.4546001,159025454.06704378,14565806.069777891,173591260.1368217,WT,SPO1,WLO-L2
WLO,L3,4,with-seed-bank,2568398646.344369,65700000,7390000,73090000,WT,SPO1,WLO-L3
SNCt,L1,4,no-seed-bank,NA,1,244661148.5889097,244661149.5889097,dSpoIIE,no_Phage,SNCt-L1
SNCt,L2,4,no-seed-bank,NA,1,174519900.5527526,174519901.5527526,dSpoIIE,no_Phage,SNCt-L2
SNCt,L3,4,no-seed-bank,NA,1,223012388.51552066,223012389.51552066,dSpoIIE,no_Phage,SNCt-L3
WLCt,L1,4,with-seed-bank,NA,302516655.50629216,103336025.02292745,405852680.5292196,WT,no_Phage,WLCt-L1
WLCt,L2,4,with-seed-bank,NA,175347926.28496444,86792548.72936988,262140475.01433432,WT,no_Phage,WLCt-L2
WLCt,L3,4,with-seed-bank,NA,193056690.5594318,83412004.73508123,276468695.294513,WT,no_Phage,WLCt-L3
SNO,L1,4.5,no-seed-bank,1063094939.769021,1,3185000,3185001,dSpoIIE,SPO1,SNO-L1
SNO,L2,4.5,no-seed-bank,1541485878.344892,1,12073333.333333334,12073334.333333334,dSpoIIE,SPO1,SNO-L2
SNO,L3,4.5,no-seed-bank,906529633.8087559,1,820000,820001,dSpoIIE,SPO1,SNO-L3
WLO,L1,4.5,with-seed-bank,4091381491.8737288,2888333.3333333335,5930000,8818333.333333334,WT,SPO1,WLO-L1
WLO,L2,4.5,with-seed-bank,378313999.38120794,48309043.45611951,33312203.926894136,81621247.38301364,WT,SPO1,WLO-L2
WLO,L3,4.5,with-seed-bank,1164338527.765551,6606666.666666667,24388333.333333336,30995000.000000004,WT,SPO1,WLO-L3
SNCt,L1,4.5,no-seed-bank,NA,1,543176653.4888288,543176654.4888288,dSpoIIE,no_Phage,SNCt-L1
SNCt,L2,4.5,no-seed-bank,NA,1,454337389.1157385,454337390.1157385,dSpoIIE,no_Phage,SNCt-L2
SNCt,L3,4.5,no-seed-bank,NA,1,530297403.04604256,530297404.04604256,dSpoIIE,no_Phage,SNCt-L3
WLCt,L1,4.5,with-seed-bank,NA,199060722.93380958,328090398.29528165,527151121.2290912,WT,no_Phage,WLCt-L1
WLCt,L2,4.5,with-seed-bank,NA,205193625.23472643,299951989.5937844,505145614.8285108,WT,no_Phage,WLCt-L2
WLCt,L3,4.5,with-seed-bank,NA,166221615.66759902,283654889.02192503,449876504.68952405,WT,no_Phage,WLCt-L3
SNO,L1,5,no-seed-bank,363048238.2291684,1,5928333.333333334,5928334.333333334,dSpoIIE,SPO1,SNO-L1
SNO,L2,5,no-seed-bank,2227561839.076833,1,30101666.666666668,30101667.666666668,dSpoIIE,SPO1,SNO-L2
SNO,L3,5,no-seed-bank,318335411.36828184,1,2630000,2630001,dSpoIIE,SPO1,SNO-L3
WLO,L1,5,with-seed-bank,1669017148.1997523,36491666.66666667,43370000,79861666.66666667,WT,SPO1,WLO-L1
WLO,L2,5,with-seed-bank,651138075.3236251,56808333.333333336,7206666.666666667,64015000,WT,SPO1,WLO-L2
WLO,L3,5,with-seed-bank,1186607771.5936303,42850000,4570000,47420000,WT,SPO1,WLO-L3
SNCt,L1,5,no-seed-bank,NA,1,237434464.1700968,237434465.1700968,dSpoIIE,no_Phage,SNCt-L1
SNCt,L2,5,no-seed-bank,NA,1,213442764.85511032,213442765.85511032,dSpoIIE,no_Phage,SNCt-L2
SNCt,L3,5,no-seed-bank,NA,1,403357667.5979992,403357668.5979992,dSpoIIE,no_Phage,SNCt-L3
WLCt,L1,5,with-seed-bank,NA,247096694.5039292,174054802.97552812,421151497.4794573,WT,no_Phage,WLCt-L1
WLCt,L2,5,with-seed-bank,NA,222829060.56054223,95316004.7846044,318145065.34514666,WT,no_Phage,WLCt-L2
WLCt,L3,5,with-seed-bank,NA,193619263.57654637,92243079.41335651,285862342.98990285,WT,no_Phage,WLCt-L3
SNO,L1,5.5,no-seed-bank,320382326.28846097,1,483333.3333333334,483334.3333333334,dSpoIIE,SPO1,SNO-L1
SNO,L2,5.5,no-seed-bank,2915267935.919096,1,2658333.8333333335,2658334.8333333335,dSpoIIE,SPO1,SNO-L2
SNO,L3,5.5,no-seed-bank,337848398.1023084,1,911666.6666666667,911667.6666666667,dSpoIIE,SPO1,SNO-L3
WLO,L1,5.5,with-seed-bank,1086235547.7397952,21500000,24575000,46075000,WT,SPO1,WLO-L1
WLO,L2,5.5,with-seed-bank,467628387.7453232,40625000,7280000,47905000,WT,SPO1,WLO-L2
WLO,L3,5.5,with-seed-bank,693768896.3350338,2366666.666666667,6010000,8376666.666666667,WT,SPO1,WLO-L3
SNCt,L1,5.5,no-seed-bank,NA,1,510914406.5670624,510914407.5670624,dSpoIIE,no_Phage,SNCt-L1
SNCt,L2,5.5,no-seed-bank,NA,1,454041578.1916603,454041579.1916603,dSpoIIE,no_Phage,SNCt-L2
SNCt,L3,5.5,no-seed-bank,NA,1,799195757.2877116,799195758.2877116,dSpoIIE,no_Phage,SNCt-L3
WLCt,L1,5.5,with-seed-bank,NA,109585436.10448211,399194066.8903793,508779502.9948614,WT,no_Phage,WLCt-L1
WLCt,L2,5.5,with-seed-bank,NA,162336030.89179343,355893036.55718493,518229067.44897836,WT,no_Phage,WLCt-L2
WLCt,L3,5.5,with-seed-bank,NA,169900910.9492448,345441392.12142247,515342303.07066727,WT,no_Phage,WLCt-L3
SNO,L1,6,no-seed-bank,379344605.515957,1,711666.6666666667,711667.6666666667,dSpoIIE,SPO1,SNO-L1
SNO,L2,6,no-seed-bank,1574527684.9048796,1,9603333.333333334,9603334.333333334,dSpoIIE,SPO1,SNO-L2
SNO,L3,6,no-seed-bank,307815572.2969752,1,2486666.666666667,2486667.666666667,dSpoIIE,SPO1,SNO-L3
WLO,L1,6,with-seed-bank,1123365760.42168,104860000,3891666.666666667,108751666.66666667,WT,SPO1,WLO-L1
WLO,L2,6,with-seed-bank,886094334.2339213,72476666.66666667,16305000,88781666.66666667,WT,SPO1,WLO-L2
WLO,L3,6,with-seed-bank,609325739.4068317,15420000,4395000,19815000,WT,SPO1,WLO-L3
SNCt,L1,6,no-seed-bank,NA,1,322450275.7801301,322450276.7801301,dSpoIIE,no_Phage,SNCt-L1
SNCt,L2,6,no-seed-bank,NA,1,163375097.93443805,163375098.93443805,dSpoIIE,no_Phage,SNCt-L2
SNCt,L3,6,no-seed-bank,NA,1,304221709.9949899,304221710.9949899,dSpoIIE,no_Phage,SNCt-L3
WLCt,L1,6,with-seed-bank,NA,137655770.34792024,167088472.12386203,304744242.47178227,WT,no_Phage,WLCt-L1
WLCt,L2,6,with-seed-bank,NA,193211502.1342208,115784603.06269994,308996105.19692075,WT,no_Phage,WLCt-L2
WLCt,L3,6,with-seed-bank,NA,200802664.23864186,135712773.83545247,336515438.0740943,WT,no_Phage,WLCt-L3
SNO,L1,6.5,no-seed-bank,242857650.57118714,1,2430000,2430001,dSpoIIE,SPO1,SNO-L1
SNO,L2,6.5,no-seed-bank,2656716936.8483458,1,43810000,43810001,dSpoIIE,SPO1,SNO-L2
SNO,L3,6.5,no-seed-bank,487589638.8653587,1,3425000,3425001,dSpoIIE,SPO1,SNO-L3
WLO,L1,6.5,with-seed-bank,653560420.732542,25758333.333333336,28860000,54618333.333333336,WT,SPO1,WLO-L1
WLO,L2,6.5,with-seed-bank,667048504.1839967,10168333.333333334,17401666.666666668,27570000,WT,SPO1,WLO-L2
WLO,L3,6.5,with-seed-bank,306285022.6063908,665000,12265000,12930000,WT,SPO1,WLO-L3
SNCt,L1,6.5,no-seed-bank,NA,1,655824424.2124515,655824425.2124515,dSpoIIE,no_Phage,SNCt-L1
SNCt,L2,6.5,no-seed-bank,NA,1,390718727.5521625,390718728.5521625,dSpoIIE,no_Phage,SNCt-L2
SNCt,L3,6.5,no-seed-bank,NA,1,383906378.9726338,383906379.9726338,dSpoIIE,no_Phage,SNCt-L3
WLCt,L1,6.5,with-seed-bank,NA,133301609.18968454,569870462.3008687,703172071.4905533,WT,no_Phage,WLCt-L1
WLCt,L2,6.5,with-seed-bank,NA,125884949.94183382,390789601.47354317,516674551.415377,WT,no_Phage,WLCt-L2
WLCt,L3,6.5,with-seed-bank,NA,111676393.702357,278541087.46883273,390217481.1711897,WT,no_Phage,WLCt-L3
SNO,L1,7,no-seed-bank,1642015950.6048384,1,1733333.3333333335,1733334.3333333335,dSpoIIE,SPO1,SNO-L1
SNO,L2,7,no-seed-bank,2011599333.3199282,1,64173333.333333336,64173334.333333336,dSpoIIE,SPO1,SNO-L2
SNO,L3,7,no-seed-bank,1083189066.264232,1,4946666.666666667,4946667.666666667,dSpoIIE,SPO1,SNO-L3
WLO,L1,7,with-seed-bank,2182519474.22418,81905000,8616666.666666668,90521666.66666667,WT,SPO1,WLO-L1
WLO,L2,7,with-seed-bank,1905044759.552433,48415000,12083333.333333334,60498333.333333336,WT,SPO1,WLO-L2
WLO,L3,7,with-seed-bank,4408632765.517615,6023333.333333334,4748333.333333334,10771666.666666668,WT,SPO1,WLO-L3
SNCt,L1,7,no-seed-bank,NA,1,367654496.6150137,367654497.6150137,dSpoIIE,no_Phage,SNCt-L1
SNCt,L2,7,no-seed-bank,NA,1,240876694.03624994,240876695.03624994,dSpoIIE,no_Phage,SNCt-L2
SNCt,L3,7,no-seed-bank,NA,1,246910204.44481084,246910205.44481084,dSpoIIE,no_Phage,SNCt-L3
